case,recipe,query,node,operation,row_start,row_end,guarantee,closure,logical_bytes,delivered_bytes,possible_fields,reason
2,"Nullable(Dictionary(RLE(BitPack)))",SUM_1PCT,5,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,640,640,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"4|5","RLE index determines intersecting run lengths and value rows"
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 111 } },0,443,PhysicalBytes,runtime_refined,0,0,"6","bit range depends on runtime-refined parent rows"
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,4,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3","decoded ids determine the referenced dictionary subset"
2,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN_1PCT,5,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,640,640,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"4|5","RLE index determines intersecting run lengths and value rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 111 } },0,443,PhysicalBytes,runtime_refined,0,0,"6","bit range depends on runtime-refined parent rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,4,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3","decoded ids determine the referenced dictionary subset"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_POINT,5,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,640,640,"",""
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"4|5","RLE index determines intersecting run lengths and value rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 111 } },0,443,PhysicalBytes,runtime_refined,0,0,"6","bit range depends on runtime-refined parent rows"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,4,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3","decoded ids determine the referenced dictionary subset"
2,"Nullable(Dictionary(RLE(BitPack)))",FILTER_50PCT,5,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
3,"Frame(FOR(Delta(BitPack)))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,448,448,"",""
3,"Frame(FOR(Delta(BitPack)))",GET,1,ReadRange { field: FieldId(1), bytes: Span { start: 0, end: 8 } },8199,8200,PhysicalBytes,exact,456,866,"",""
3,"Frame(FOR(Delta(BitPack)))",GET,2,SeekRestart { field: FieldId(2), restart: 32 },8199,8200,PhysicalBytes,exact,456,866,"",""
3,"Frame(FOR(Delta(BitPack)))",GET,3,ReadRange { field: FieldId(3), bytes: Span { start: 5120, end: 5125 } },8192,8200,PhysicalBytes,exact,461,866,"",""
3,"Frame(FOR(Delta(BitPack)))",GET,4,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
3,"Frame(FOR(Delta(BitPack)))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,448,448,"",""
3,"Frame(FOR(Delta(BitPack)))",SUM_1PCT,1,ReadRange { field: FieldId(1), bytes: Span { start: 0, end: 8 } },8111,8274,PhysicalBytes,exact,456,866,"",""
3,"Frame(FOR(Delta(BitPack)))",SUM_1PCT,2,SeekRestart { field: FieldId(2), restart: 31 },8111,8274,PhysicalBytes,exact,464,866,"",""
3,"Frame(FOR(Delta(BitPack)))",SUM_1PCT,3,ReadRange { field: FieldId(3), bytes: Span { start: 4960, end: 5172 } },7936,8274,PhysicalBytes,exact,676,866,"",""
3,"Frame(FOR(Delta(BitPack)))",SUM_1PCT,4,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
3,"Frame(FOR(Delta(BitPack)))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,448,448,"",""
3,"Frame(FOR(Delta(BitPack)))",BETWEEN_1PCT,1,ReadRange { field: FieldId(1), bytes: Span { start: 0, end: 8 } },8111,8274,PhysicalBytes,exact,456,866,"",""
3,"Frame(FOR(Delta(BitPack)))",BETWEEN_1PCT,2,SeekRestart { field: FieldId(2), restart: 31 },8111,8274,PhysicalBytes,exact,464,866,"",""
3,"Frame(FOR(Delta(BitPack)))",BETWEEN_1PCT,3,ReadRange { field: FieldId(3), bytes: Span { start: 4960, end: 5172 } },7936,8274,PhysicalBytes,exact,676,866,"",""
3,"Frame(FOR(Delta(BitPack)))",BETWEEN_1PCT,4,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
3,"Frame(FOR(Delta(BitPack)))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,448,448,"",""
3,"Frame(FOR(Delta(BitPack)))",FILTER_POINT,1,SearchMonotone { nulls: NoNulls },0,16384,ExactBitmap,runtime_refined,0,0,"1|2|3","checked non-decreasing invariant enables exact boundary search"
3,"Frame(FOR(Delta(BitPack)))",FILTER_POINT,2,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
3,"Frame(FOR(Delta(BitPack)))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,448,448,"",""
3,"Frame(FOR(Delta(BitPack)))",FILTER_50PCT,1,SearchMonotone { nulls: NoNulls },0,16384,ExactBitmap,runtime_refined,0,0,"1|2|3","checked non-decreasing invariant enables exact boundary search"
3,"Frame(FOR(Delta(BitPack)))",FILTER_50PCT,2,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
4,"Patch(Dictionary(BitPack))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,576,576,"",""
4,"Patch(Dictionary(BitPack))",GET,1,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
4,"Patch(Dictionary(BitPack))",GET,2,ReadRange { field: FieldId(5), bytes: Span { start: 2049, end: 2050 } },8199,8200,PhysicalBytes,exact,577,608,"",""
4,"Patch(Dictionary(BitPack))",GET,3,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"4","decoded ids determine the referenced dictionary subset"
