pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
8,0.1pct,generated_direct_selective,126.7,126.8,126.8,26520,4,286,608,608,5,0,0,4,0,8,10656,0,0,false
8,0.1pct,parquet_row_selection,9207.9,9210.8,9228.5,26520,4,0,3420,3420,4,0,0,4,0,4,12616,0,0,false
8,1pct,generated_selective,14831.1,14850.2,14853.6,334800,47,443,4849,4849,2,1,0,47,0,94,4849,0,0,false
8,1pct,generated_fused,69385.6,69404.2,69430.3,334800,47,10697,4849,4849,1,1,0,4730,0,9460,4849,0,0,false
8,1pct,generated_direct_selective,675.5,676.3,676.3,334800,47,379,672,672,6,0,0,47,0,94,10656,0,0,false
8,1pct,parquet_row_selection,9421.9,9427.8,9446.3,334800,47,0,3420,3420,4,0,0,47,0,47,12616,0,0,false
8,10pct,generated_selective,19739.4,19770.0,19776.1,2533014540,484,1254,4849,4849,2,1,0,484,0,968,4849,0,0,false
8,10pct,generated_fused,69550.5,69671.0,69706.8,2533014540,484,10697,4849,4849,1,1,0,4730,0,9460,4849,0,0,false
8,10pct,generated_direct_selective,5754.9,5758.6,5771.0,2533014540,484,1190,2592,2592,26,0,0,484,0,968,10656,0,0,false
8,10pct,parquet_row_selection,9950.5,9952.7,9957.9,2533014540,484,0,3420,3420,4,0,0,484,0,484,12616,0,0,false
8,50pct,generated_selective,40765.3,40769.6,40834.1,35029220800,2365,6101,4849,4849,2,1,0,2365,0,4730,4849,0,0,false
8,50pct,generated_fused,70595.3,70625.3,70683.6,35029220800,2365,10697,4849,4849,1,1,0,4730,0,9460,4849,0,0,false
8,50pct,generated_direct_selective,27542.3,27547.6,27561.4,35029220800,2365,6037,7760,7760,72,0,0,2365,0,4730,10656,0,0,false
8,50pct,parquet_row_selection,19575.7,19609.3,19621.2,35029220800,2365,0,8606,8606,6,0,0,2365,0,2365,12616,0,0,false
9,0.1pct,generated_selective,4889.2,4893.7,4895.0,511,4,334,4863,4863,2,1,0,4,0,5,4863,0,0,false
9,0.1pct,generated_fused,21602.3,21604.8,21619.8,511,4,5368,4863,4863,1,1,0,4032,0,4033,4863,0,0,false
9,0.1pct,generated_direct_selective,95.9,95.9,96.0,511,4,270,424,424,3,0,0,4,0,5,5440,0,0,false
9,0.1pct,parquet_row_selection,6621.7,6623.0,6643.1,511,4,0,2063,2063,4,0,0,4,0,4,5995,0,0,false
9,1pct,generated_selective,5073.6,5077.0,5080.7,3202,40,378,4863,4863,2,1,0,40,0,41,4863,0,0,false
9,1pct,generated_fused,21654.8,21665.4,21666.4,3202,40,5368,4863,4863,1,1,0,4032,0,4033,4863,0,0,false
9,1pct,generated_direct_selective,264.9,264.9,265.0,3202,40,314,424,424,3,0,0,40,0,41,5440,0,0,false
9,1pct,parquet_row_selection,6785.0,6793.7,6816.6,3202,40,0,2063,2063,4,0,0,40,0,40,5995,0,0,false
9,10pct,generated_selective,6489.3,6493.1,6520.1,29982,403,833,4863,4863,2,1,0,403,0,404,4863,0,0,false
9,10pct,generated_fused,21740.9,21742.5,21752.9,29982,403,5368,4863,4863,1,1,0,4032,0,4033,4863,0,0,false
9,10pct,generated_direct_selective,1669.5,1670.6,1673.8,29982,403,769,904,904,3,0,0,403,0,404,5440,0,0,false
9,10pct,parquet_row_selection,7837.4,7853.3,7882.4,29982,403,0,3283,3283,5,0,0,403,0,403,5995,0,0,false
